lib_name,version,commit_hash,author,commentary,date,link,is_present
ssri,^5.2.2,43cf9fefdccab6953cdbd4958ce25e3510829403,Pavel,Update-plugins.md,2018-10-13T17:18:18+01:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,9de4b7373785d1b5697a72733710c11437265ede,Kosilo,docs-download-add-link-to-release-notification-6361,2018-10-10T12:34:15+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,da6f20d2d78f9bcb35ff033f7f5744a8e91fbdf4,Pavel,docs-contrib-fix-command-for-run-test-6363,2018-10-09T12:43:35+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,466944eba3bf076c3f03d16617d19afbc43bfc95,Kosilo,Fix-Map-set-internal-flags-at-beginning-of-map-initialization-6362,2018-10-09T12:43:05+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,66c8b8da3ed78b758a531a81a891d9e9f8130ffb,Pavel,docs-plugins-update-description-of-Leaflet.MetricGrid-6355,2018-10-07T23:23:58+04:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,09fed5d72fb2c592b0359a9d4cdf8dbda406664d,Kosilo,Avoid-unnecessary-redrawing-in-TileLayer.setUrl-when-URL-does-not-change.-6313,2018-10-03T13:19:03+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,4ac96ed47828e3311d300978862633bce3e0ae38,Pavel,docs-plugins-Add-general-purpose-metric-grid-overlay-6350,2018-09-28T09:02:54+04:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,d8dc04144c6120f8ef660b9774ef8e9263e89b5a,Kosilo,Plugins-add-Leaflet.TileLayer.ColorFilter-6348,2018-09-26T09:34:41+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,094e6c296973c5aab41a0d7cf8d770e4f39369ac,Pavel,fix-docs-remove-additional-tr-in-plugins-list-6334,2018-09-07T14:04:07+02:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,620a7c95f824773484f644b71dfc6d7384eb1f4e,Kosilo,Plugins-add-Leaflet.VectorTileLayer-6330,2018-09-05T14:58:01+02:00,https://github.com/IntelligentMap/Cartographer,YES
